Nummer,Probenbezeichnung,Konzentration_ppm,Matrix,Polymer,Alterung,mProben_mg,dHm_J/g,Tm_C
L171,ZF Weis-PE-60ppm-1,60,Sediment Weißeritz,Polyethylen,,11.8,0.01824,130.8
L172,ZF Weis-PE-40ppm-1,40,Sediment Weißeritz,Polyethylen,,11.16,0.07327,127.8
L173,ZF Weis-PE-40ppm-1,40,Sediment Weißeritz,Polyethylen,,11.57,-0.00381,129.9
L174,ZF Weis-PE-40ppm-1,40,Sediment Weißeritz,Polyethylen,,11.17,0.2454,131.0
L175,ZF Weis-PE-20ppm-1,20,Sediment Weißeritz,Polyethylen,,10.79,0.06964,130.9
L176,ZF Weis-PE-20ppm-1,20,Sediment Weißeritz,Polyethylen,,12.21,0.1539,129.6
L177,ZF Weis-PE-20ppm-1,20,Sediment Weißeritz,Polyethylen,,11.25,0.2534,130.0
L178,ZF Weis-PE-60ppm-2,60,Sediment Weißeritz,Polyethylen,,11.07,0.2534,130.0
L179,ZF Weis-PE-60ppm-2,60,Sediment Weißeritz,Polyethylen,,10.72,0.1686,130.7
L180,ZF Weis-PE-60ppm-2,60,Sediment Weißeritz,Polyethylen,,11.93,0.3486,130.5
L181,ZF Weis-PE-60ppm-3,60,Sediment Weißeritz,Polyethylen,,10.8,0.3685,130.3
L182,ZF Weis-PE-60ppm-3,60,Sediment Weißeritz,Polyethylen,,10.57,0.1037,131.2
L183,ZF Weis-PE-60ppm-3,60,Sediment Weißeritz,Polyethylen,,11.77,-0.009241,98.9
L184,ZF Weis-PE-100ppm-2,100,Sediment Weißeritz,Polyethylen,,10.39,0.1532,94.4
L185,ZF Weis-PE-100ppm-2,100,Sediment Weißeritz,Polyethylen,,10.27,0.1939,130.2
L186,ZF Weis-PE-100ppm-2,100,Sediment Weißeritz,Polyethylen,,10.86,0.07681,131.6
L187,ZF Weis-PE-100ppm-3,100,Sediment Weißeritz,Polyethylen,,11.12,0.2705,130.7
L188,ZF Weis-PE-100ppm-3,100,Sediment Weißeritz,Polyethylen,,10.33,0.2619,130.8
L189,ZF Weis-PE-100ppm-3,100,Sediment Weißeritz,Polyethylen,,11.31,-0.605,93.3
L190,ZF Weis-PE-40ppm-2,40,Sediment Weißeritz,Polyethylen,,10.34,-0.05175,111.5
L191,ZF Weis-PE-40ppm-2,40,Sediment Weißeritz,Polyethylen,,12.27,0.1367,148.3
L192,ZF Weis-PE-40ppm-2,40,Sediment Weißeritz,Polyethylen,,10.59,0.06273,148.4
L193,ZF Weis-PE-40ppm-3,40,Sediment Weißeritz,Polyethylen,,12.45,-0.1214,148.5
L194,ZF Weis-PE-40ppm-3,40,Sediment Weißeritz,Polyethylen,,11.94,0.1174,148.5
L195,ZF Weis-PE-40ppm-3,40,Sediment Weißeritz,Polyethylen,,11.43,-0.04617,144.6
L196,ZF Weis-PE-20ppm-2,20,Sediment Weißeritz,Polyethylen,,12.09,-0.04355,148.5
L197,ZF Weis-PE-20ppm-2,20,Sediment Weißeritz,Polyethylen,,11.04,-0.1265,148.0
L198,ZF Weis-PE-20ppm-2,20,Sediment Weißeritz,Polyethylen,,10.65,-0.0585,148.4
L199,ZF Weis-PE-20ppm-3,20,Sediment Weißeritz,Polyethylen,,10.57,-0.1283,148.5
L200,ZF Weis-PE-20ppm-3,20,Sediment Weißeritz,Polyethylen,,11.33,0.006272,148.5
L201,ZF Weis-PE-20ppm-3,20,Sediment Weißeritz,Polyethylen,,10.97,0.0515,148.5
L202,ZF Weis-PE-80ppm-1,80,Sediment Weißeritz,Polyethylen,,10.77,0.2492,146.1
L203,ZF Weis-PE-80ppm-1,80,Sediment Weißeritz,Polyethylen,,12.58,0.1158,130.9
L204,ZF Weis-PE-80ppm-1,80,Sediment Weißeritz,Polyethylen,,12.97,0.1348,148.4
L205,ZF Weis-PE-80ppm-2,80,Sediment Weißeritz,Polyethylen,,12.19,0.07933,148.4
L206,ZF Weis-PE-80ppm-2,80,Sediment Weißeritz,Polyethylen,,12.11,-0.02285,148.4
L207,ZF Weis-PE-80ppm-2,80,Sediment Weißeritz,Polyethylen,,11.41,0.1063,131.0
L208,ZF Weis-PE-80ppm-3,80,Sediment Weißeritz,Polyethylen,,12.75,-0.1562,148.4
L209,ZF Weis-PE-80ppm-3,80,Sediment Weißeritz,Polyethylen,,10.6,-0.2206,148.4
L210,ZF Weis-PE-80ppm-3,80,Sediment Weißeritz,Polyethylen,,11.15,-0.2351,148.5
L226,ZF ModS-PE-100ppm-4,100,Modellsand,Polyethylen,,10.47,3.074,127.7
L227,ZF ModS-PE-100ppm-4,100,Modellsand,Polyethylen,,11.85,3.626,128.5
L228,ZF ModS-PE-100ppm-4,100,Modellsand,Polyethylen,,11.44,2.045,127.0
L229,ZF ModS-PE-100ppm-5,100,Modellsand,Polyethylen,,9.68,8.474,129.9
L230,ZF ModS-PE-100ppm-5,100,Modellsand,Polyethylen,,13.35,9.607,130.7
L231,ZF ModS-PE-100ppm-5,100,Modellsand,Polyethylen,,10.72,13.17,129.7
L232,ZF ModS-PE-100ppm-6,100,Modellsand,Polyethylen,,11.58,7.706,128.9
L233,ZF ModS-PE-100ppm-6,100,Modellsand,Polyethylen,,9.32,10.08,129.8
L234,ZF ModS-PE-100ppm-6,100,Modellsand,Polyethylen,,10.43,7.516,129.2
L235,ZF Elbe-PE-100ppm-1,100,Sediment Elbe,Polyethylen,,17.21,0.008631,131.0
L236,ZF Elbe-PE-100ppm-1,100,Sediment Elbe,Polyethylen,,16.5,0.0187,147.2
L237,ZF Elbe-PE-100ppm-1,100,Sediment Elbe,Polyethylen,,18.23,0.09233,148.4
L238,ZF Elbe-PE-100ppm-2,100,Sediment Elbe,Polyethylen,,17.42,0.006098,130.7
L239,ZF Elbe-PE-100ppm-2,100,Sediment Elbe,Polyethylen,,20.66,-0.07153,101.6
L240,ZF Elbe-PE-100ppm-2,100,Sediment Elbe,Polyethylen,,17.18,0.07037,130.4
L241,ZF Elbe-PE-100ppm-3,100,Sediment Elbe,Polyethylen,,17.84,0.01118,148.3
L242,ZF Elbe-PE-100ppm-3,100,Sediment Elbe,Polyethylen,,20.25,0.2746,107.5
L243,ZF Elbe-PE-100ppm-3,100,Sediment Elbe,Polyethylen,,16.05,0.1224,130.4
L244,ZF Elbe-PE-80ppm-1,80,Sediment Elbe,Polyethylen,,18.45,0.2346,130.6
L245,ZF Elbe-PE-80ppm-1,80,Sediment Elbe,Polyethylen,,18.22,0.2582,131.1
L246,ZF Elbe-PE-80ppm-1,80,Sediment Elbe,Polyethylen,,18.95,0.2852,130.9
L247,ZF Elbe-PE-80ppm-2,80,Sediment Elbe,Polyethylen,,16.91,-0.07958,107.6
L248,ZF Elbe-PE-80ppm-2,80,Sediment Elbe,Polyethylen,,16.23,-0.02713,148.3
L249,ZF Elbe-PE-80ppm-2,80,Sediment Elbe,Polyethylen,,18.04,0.0933,130.5
L250,ZF Elbe-PE-80ppm-3,80,Sediment Elbe,Polyethylen,,21.5,0.06541,130.3
L251,ZF Elbe-PE-80ppm-3,80,Sediment Elbe,Polyethylen,,19.26,0.4226,130.3
L252,ZF Elbe-PE-80ppm-3,80,Sediment Elbe,Polyethylen,,17.68,-0.02957,147.9
L271,ZF Elbe-PE-60ppm-1,60,Sediment Elbe,Polyethylen,,21.08,0.1074,117.9
L272,ZF Elbe-PE-60ppm-1,60,Sediment Elbe,Polyethylen,,22.35,0.02372,120.1
L273,ZF Elbe-PE-60ppm-1,60,Sediment Elbe,Polyethylen,,21.78,-0.06491,121.0
