Probe,"[-25, -5)","[-5, 15)","[15, 35)","[35, 55)","[55, 75)","[75, 95)","[95, 115)","[115, 135)","[135, 155)","[155, 175)","[175, 195)","[195, 215)","[215, 235)","[235, 255)","[255, 275)"
L267_S5,-0.4090838540024542,-0.4015224850121523,-0.3966052058118581,-0.3923723869164952,-0.38596609227429707,-0.37710296887459344,-0.3663685062077328,-0.3545841940114128,-0.3439829581996457,-0.33957048845046794,-0.33339201686305664,-0.32531506286978584,-0.3174257378137769,-0.3111245469984731,-0.3042992620567878
L268_S5,-0.3500997828147404,-0.33919707396273197,-0.3302602349622847,-0.3227403732985418,-0.3151344357496757,-0.30595463824670555,-0.2995174436817569,-0.3112755235879186,-0.2708795925744345,-0.26318688003629986,-0.25514382665421653,-0.24824626194636973,-0.24192527653625798,-0.23462309407715579,-0.22611560300601594
L269_S5,-0.42510842234575524,-0.42022852128815064,-0.41750413922145074,-0.41483074947269816,-0.4113042938676467,-0.4051472181288038,-0.3954243134962428,-0.37535580286768166,-0.3841334978649322,-0.38225213849007594,-0.3796594380339628,-0.375402875187385,-0.368913098347145,-0.36291642671529584,-0.3601160503603092
L270_S5,-0.37087456774216554,-0.3645904999183537,-0.3597595745150824,-0.3571097600204218,-0.35491060916075035,-0.3523834690585097,-0.35053426436655244,-0.35346409176685784,-0.3381177300426495,-0.33463768548787687,-0.3303205670921174,-0.3263374886977408,-0.3223842226713421,-0.31866848567634504,-0.3146620489041474
L271_S5,-0.4091942766006215,-0.4055725942547411,-0.40397022899423146,-0.40147633235822733,-0.3975095478757581,-0.39194953984799247,-0.38771873459537476,-0.3887341520001001,-0.37556401156800934,-0.3708380029814268,-0.36466787614938345,-0.35778714926203276,-0.3512882772488553,-0.34443100205012817,-0.33761259145452616
L272_S5,-0.4215564954380395,-0.4225365988967066,-0.42526073866361114,-0.4272702668549203,-0.4277639531563406,-0.4273843908883555,-0.4266190036031255,-0.41620102823287275,-0.4265823295571299,-0.42577115954268746,-0.4243630662405525,-0.4222978766569148,-0.4198617631242277,-0.41701869942234876,-0.4138265447655845
L273_S5,-0.40322327684786974,-0.40159655564856,-0.40258677847275137,-0.4030046307745973,-0.40208810021084584,-0.40092039855558453,-0.40087823762546915,-0.3994882058824387,-0.39661286343983027,-0.395273864532868,-0.39332057298120837,-0.3907826860974721,-0.38854211604878985,-0.38526543057636653,-0.38169996494198194
L274_S5,-0.4267473799833684,-0.4355510840492295,-0.4440555071601339,-0.45017828183634767,-0.4546274947330056,-0.457739377771227,-0.45867802639881966,-0.43842028881513295,-0.4682519682259588,-0.4713670225183711,-0.4749938707544562,-0.4766009256505384,-0.4774548597079413,-0.4761477304220642,-0.4745664778433198
L275_S5,-0.44461436982572056,-0.44690218046563385,-0.4511582902049732,-0.4539184543213076,-0.4553070180791977,-0.45420136718703225,-0.4503480390318663,-0.431034340463636,-0.4537926993700429,-0.4547862674067849,-0.45545608204182075,-0.4559818732004443,-0.45656371045050415,-0.4554705114196694,-0.4548910655642038
L276_S5,-0.44296416544199785,-0.4448693529997781,-0.4486937680961084,-0.4511347679200622,-0.4521972491259413,-0.45224688189433165,-0.4502329965023572,-0.43138626118625073,-0.4531117239546619,-0.452547614659944,-0.45052171378057027,-0.4480851140257681,-0.4451113802080939,-0.4413831201366936,-0.4367554421979446
L277_S5,-0.4283188571443238,-0.4335813537921655,-0.4397856311792666,-0.4442825501337414,-0.4473933145132966,-0.44926531131194675,-0.44963280751616835,-0.43200919011076816,-0.45582171145505457,-0.45698851271827795,-0.45730215968482396,-0.4572837884053074,-0.4569851971877706,-0.45618590457656527,-0.454923906432922
L278_S5,-0.41917320769426136,-0.41553463762542586,-0.41533129236759814,-0.4139418412101156,-0.41116163617136536,-0.4075764341719471,-0.4049902511966719,-0.3999225014002361,-0.3943759574179114,-0.38904738403424566,-0.38263946606237276,-0.3757155243208755,-0.36893328003253895,-0.36129329771426216,-0.3535665362011634
