Probe,"[-25, -5)","[-5, 15)","[15, 35)","[35, 55)","[55, 75)","[75, 95)","[95, 115)","[115, 135)","[135, 155)","[155, 175)","[175, 195)","[195, 215)","[215, 235)","[235, 255)","[255, 275)",Overall_Cluster
L107_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L108_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L109_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L110_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L111_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L112_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L113_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L114_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L115_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L116_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L117_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L118_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L119_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L120_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L121_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L122_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L123_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L124_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L125_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L126_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L127_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L128_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L129_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L130_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L131_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L132_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L133_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L134_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
